vertex: modules
1888: 27 28
1889: 27 19
1890: 16 1
1891: 9 27
1892: 17 29
1893: 11 7
1894: 25 22
1895: 0 23
1896: 23 7
1897: 20 14
1898: 17 13
1899: 24 3
1900: 24 16
1901: 24 1
1902: 26 27
1903: 11 21
1904: 4 5
1905: 26 5
1906: 25 4
1907: 4 12
1908: 23 7
1909: 24 8
1910: 16 19
1911: 0 17
1912: 26 29
1913: 24 9
1914: 9 13
1915: 19 21
1916: 13 7
1917: 8 25
1918: 25 21
1919: 1 25
1920: 21 29
1921: 9 12
1922: 26 3
1923: 18 6
1924: 8 25
1925: 17 3
1926: 17 7
1927: 0 12
1928: 25 17
1929: 11 4
1930: 9 23
1931: 24 6
1932: 26 27
1933: 6 14
1934: 20 22
1935: 16 14
1936: 26 21
1937: 6 7
1938: 12 29
1939: 26 20
1940: 4 22
1941: 24 15
1942: 2 15
1943: 10 14
1944: 18 4
1945: 19 6
1946: 29 7
1947: 26 4
1948: 26 28
1949: 24 10
1950: 16
1951: 9 19
1952: 26 12
1953: 16 14
1954: 4
1955: 27 12
1956: 1 7
1957: 3 5
1958: 17 27
1959: 10 28
1960: 18 29
1961: 12 13
1962: 10 19
1963: 25 23
1964: 0 6
1965: 0 2
1966: 26 29
1967: 27 15
1968: 28 5
1969: 4 15
1970: 22 6
1971: 9 26
1972: 21 15
1973: 1 3
1974: 22
1975: 8 17
1976: 10 22
1977: 8 22
1978: 2 23
1979: 19 28
1980: 26 6
1981: 17 2
1982: 3 12
1983: 17 7
1984: 19 20
1985: 12 7
1986: 1 15
1987: 4 14
1988: 8 13
1989: 10 19
1990: 1 4
1991: 23 7
1992: 0 25
1993: 27 12
1994: 27 20
1995: 2 6
1996: 4 13
1997: 6
1998: 11 5
1999: 18 29
